year,world_rank,institution,country
2003,1,"Harvard University","United States"
2003,2,"Stanford University","United States"
2003,3,"Massachusetts Institute of Technology (MIT)","United States"
2003,4,"University of California-Berkeley","United States"
2003,5,"University of Cambridge","United Kingdom"
2003,6,"Princeton University","United States"
2003,7,"California Institute of Technology","United States"
2003,8,"Columbia University","United States"
2003,9,"University of Chicago","United States"
2003,9,"University of Oxford","United Kingdom"
2003,11,"Yale University","United States"
2003,12,"University of California, Los Angeles","United States"
2003,13,"Cornell University","United States"
2003,14,"University of California, San Diego","United States"
2003,15,"University of Washington","United States"
2003,16,"University of Pennsylvania","United States"
2003,17,"The Johns Hopkins University","United States"
2003,18,"University of California, San Francisco","United States"
2003,19,"Swiss Federal Institute of Technology Zurich","Switzerland"
2003,20,"University College London","United Kingdom"
2003,21,"The University of Tokyo","Japan"
2003,22,"The Imperial College of Science, Technology and Medicine","United Kingdom"
2003,22,"University of Michigan-Ann Arbor","United States"
2003,24,"University of Toronto","Canada"
2003,24,"University of Wisconsin - Madison","United States"
2003,26,"Kyoto University","Japan"
2003,27,"New York University","United States"
2003,28,"Northwestern University","United States"
2003,28,"University of Illinois at Urbana-Champaign","United States"
2003,30,"University of Minnesota, Twin Cities","United States"
2003,31,"Duke University","United States"
2003,32,"Washington University in St. Louis","United States"
2003,33,"Rockefeller University","United States"
2003,34,"University of Colorado at Boulder","United States"
2003,35,"Pierre and Marie  Curie University - Paris 6","France"
2003,36,"University of North Carolina at Chapel Hill","United States"
2003,37,"University of British Columbia","Canada"
2003,38,"The University of Manchester","United Kingdom"
2003,39,"The University of Texas at Austin","United States"
2003,39,"University of Copenhagen","Denmark"
2003,41,"University of California, Santa Barbara","United States"
2003,42,"University of Paris Sud (Paris 11)","France"
2003,43,"University of Maryland, College Park","United States"
2003,44,"The University of Melbourne","Australia"
2003,45,"The University of Edinburgh","United Kingdom"
2003,45,"The University of Texas Southwestern Medical Center at Dallas","United States"
2003,47,"Karolinska Institute","Sweden"
2003,47,"University of California, Irvine","United States"
2003,49,"Heidelberg University","Germany"
2003,49,"University of Munich","Germany"
2003,51,"University of Southern California","United States"
2003,52,"Rutgers, The State University of New Jersey - New Brunswick","United States"
2003,53,"Technical University Munich","Germany"
2003,54,"Vanderbilt University","United States"
2003,55,"University of California, Davis","United States"
2003,56,"University of Zurich","Switzerland"
2003,57,"Utrecht University","Netherlands"
2003,58,"Pennsylvania State University - University Park","United States"
2003,59,"King's College London","United Kingdom"
2003,60,"Purdue University - West Lafayette","United States"
2003,60,"Uppsala University","Sweden"
2003,62,"Carnegie Mellon University","United States"
2003,63,"University of Bristol","United Kingdom"
2003,64,"The Ohio State University - Columbus","United States"
2003,65,"University of Pittsburgh-Pittsburgh Campus","United States"
2003,66,"University of Geneva","Switzerland"
2003,67,"Ecole Normale Superieure - Paris","France"
2003,67,"McGill University","Canada"
2003,69,"University of Oslo","Norway"
2003,70,"Ghent University","Belgium"
2003,70,"The Hebrew University of Jerusalem","Israel"
2003,72,"Boston University","United States"
2003,73,"University of Helsinki","Finland"
2003,74,"Aarhus University","Denmark"
2003,74,"Brown University","United States"
