raw_name,canonical_name
Environmental Science & Engineering,Environmental Engineering
Computational Science & Engineering,Computational Science
Bioinformatics & Genomics,Bioinformatics
Systems Biology,Computational Biology
Applied Physics,Physics
Bioengineering,Biomedical Engineering
Civil & Environmental Engineering,Civil Engineering
Aeronautics & Astronautics,Aerospace Engineering
Management Science & Engineering,Operations Research
Materials Science & Engineering,Materials Science
Earth & Planetary Sciences,Earth Sciences
Biomedical Informatics,Computational Biology
Chemistry & Systems Biology,Chemistry
Computational & Mathematical Engineering,Applied Mathematics
Energy Science & Engineering,Environmental Engineering
Computer Science & Engineering,Computer Science
Nuclear Science & Engineering,Nuclear Engineering
Brain & Cognitive Sciences,Neuroscience
Biology,Computational Biology
Computation for Design and Optimization,Computational Science
Data Science & Machine Learning,Data Science
Biological Engineering,Biomedical Engineering
Statistics & Data Science,Statistics
Urban Studies & Planning,Interdisciplinary Sciences
Engineering,Engineering (General)
Natural Sciences,Interdisciplinary Sciences
Chemical Engineering & Biotechnology,Chemical Engineering
Physics & Astrophysics,Astrophysics
Statistical Science,Statistics
Data-Intensive Science,Data Science
Electrical Engineering & Computer Sciences,Electrical Engineering
Industrial Engineering & Operations Research,Industrial Engineering
Engineering Science,Engineering (General)
Mathematical Modelling & Scientific Computing,Applied Mathematics
Autonomous Intelligent Machines & Systems,Artificial Intelligence
Applied and Computational Mathematics,Applied Mathematics
Chemical & Biological Engineering,Chemical Engineering
Electrical & Computer Engineering,Electrical Engineering
Mechanical & Aerospace Engineering,Mechanical Engineering
Operations Research & Financial Engineering (ORFE),Operations Research
Quantitative & Computational Biology,Computational Biology
Statistics & Machine Learning,Statistics
Astrophysical Sciences,Astrophysics
Geosciences,Earth Sciences
Industrial Engineering & Operations Research (IEOR),Operations Research
Earth & Environmental Engineering,Environmental Engineering
Aerospace,Aerospace Engineering
Biochemistry & Molecular Biophysics,Biochemistry
Geochemistry,Earth Sciences
Computational and Applied Mathematics,Applied Mathematics
Biological Chemistry,Biochemistry
Molecular Engineering,Biomedical Engineering
Geophysical Sciences,Earth Sciences
Computational Social Science,Interdisciplinary Sciences
Genomics & Systems Biology,Bioinformatics
Chemical & Environmental Engineering,Chemical Engineering
Molecular Biophysics & Biochemistry,Biochemistry
Computational Biology & Bioinformatics,Bioinformatics
Ecology & Evolutionary Biology,Computational Biology
Operations Research & Information Engineering,Operations Research
Data Science & AI,Data Science
Astrophysics & Space Science,Astrophysics
Energy Engineering,Environmental Engineering
Earth & Environmental Sciences,Earth Sciences
Robotics & Artificial Intelligence,Artificial Intelligence
Physics & Astronomy,Physics
Medical Physics & Biomedical Engineering,Biomedical Engineering
Electrical & Electronic Engineering,Electrical Engineering
Computational Statistics & Machine Learning,CS & AI
Computer & Information Science,Computer Science
Applied Mathematics & Computational Science,Applied Mathematics
Chemical & Biomolecular Engineering,Chemical Engineering
Electrical & Systems Engineering,Electrical Engineering
Mechanical Engineering & Applied Mechanics,Mechanical Engineering
Networked & Social Systems Engineering,Systems Engineering
